gene_ID,Name,moduleColor,MM,Mycobrowser Functional Category,GO-SLIM: biological_process,GO-SLIM: molecular_function
gene:Rv0594,mce2F,lightcyan,-0.131978403,"virulence, detoxification, adaptation",NA,NA
gene:Rv0595c,vapC4,paleturquoise,0.645964601,"virulence, detoxification, adaptation",NA,"molecular sequestering activity, catalytic activity, acting on RNA, hydrolase activity, RNA binding"
gene:Rv0596c,vapB4,greenyellow,0.785554379,"virulence, detoxification, adaptation",detoxification,molecular sequestering activity
gene:Rv0597c,Rv0597c,pink,0.808160856,conserved hypotheticals,NA,NA
gene:Rv0598c,vapC27,lightyellow,0.812449024,"virulence, detoxification, adaptation",NA,"catalytic activity, acting on RNA, hydrolase activity"
gene:Rv0599c,vapB27,lightyellow,0.588747642,"virulence, detoxification, adaptation",NA,DNA binding
gene:Rv0600c,Rv0600c,salmon,0.404630921,regulatory proteins,"signaling, intracellular, protein modification process","catalytic activity, acting on a protein, transferase activity, signaling, molecular transducer activity, protein modification process"
gene:Rv0601c,Rv0601c,blue,0.492550144,regulatory proteins,"signaling, intracellular, protein modification process","catalytic activity, acting on a protein, transferase activity, protein modification process, signaling, small molecule sensor activity"
gene:Rv0602c,tcrA,lightcyan,0.382351867,regulatory proteins,"regulation of transcription, DNA-templated, signaling, intracellular","signaling, molecular transducer activity, DNA binding, regulation of transcription, DNA-templated"
gene:Rv0603,Rv0603,lightcyan,0.208202162,cell wall and cell processes,NA,NA
gene:Rv0604,lpqO,turquoise,0.01844524,cell wall and cell processes,NA,NA
gene:Rv0605,Rv0605,blue,0.571735672,insertion seqs and phages,DNA recombination,"DNA binding, DNA recombination, catalytic activity, acting on DNA"
gene:Rv0606,Rv0606,brown,0.805099626,insertion seqs and phages,NA,NA
gene:Rv0607,Rv0607,brown,0.696248317,conserved hypotheticals,NA,NA
gene:Rv0608,vapB28,greenyellow,0.691568918,"virulence, detoxification, adaptation",NA,NA
gene:Rv0609,vapC28,greenyellow,0.705123143,"virulence, detoxification, adaptation",NA,"catalytic activity, acting on RNA, hydrolase activity"
gene:Rv0609A,Rv0609A,greenyellow,0.548763174,conserved hypotheticals,NA,NA
gene:Rv0610c,Rv0610c,darkorange,0.230661029,conserved hypotheticals,NA,NA
gene:Rv0611c,Rv0611c,darkorange2,0.749025883,conserved hypotheticals,NA,NA
gene:Rv0612,Rv0612,yellow,0.699844523,conserved hypotheticals,NA,NA
gene:Rv0613c,Rv0613c,magenta,0.914456388,conserved hypotheticals,transmembrane transport,"transmembrane transport, transporter activity"
gene:Rv0614,Rv0614,yellow,0.589909071,conserved hypotheticals,NA,NA
gene:Rv0615,Rv0615,white,0.846107662,cell wall and cell processes,NA,NA
gene:Rv0616c,Rv0616c,yellow,0.024806322,conserved hypotheticals,NA,NA
gene:Rv0616A,vapB29,lightcyan,0.193420185,"virulence, detoxification, adaptation","regulation of transcription, DNA-templated",NA
gene:Rv0617,vapC29,yellow,-0.345887034,"virulence, detoxification, adaptation",NA,"catalytic activity, acting on RNA, hydrolase activity"
gene:Rv0618,galTa,greenyellow,0.253312177,intermediary metabolism and respiration,carbohydrate metabolic process,transferase activity
gene:Rv0619,galTb,yellow,0.066427065,intermediary metabolism and respiration,carbohydrate metabolic process,transferase activity
gene:Rv0620,galK,yellow,0.705983297,intermediary metabolism and respiration,carbohydrate metabolic process,"carbohydrate metabolic process, transferase activity"
gene:Rv0621,Rv0621,bisque4,0.624561467,cell wall and cell processes,NA,NA
gene:Rv0622,Rv0622,bisque4,0.729646128,cell wall and cell processes,NA,NA
gene:Rv0623,vapB30,darkmagenta,0.80644348,"virulence, detoxification, adaptation",NA,NA
gene:Rv0624,vapC30,purple,0.600737897,"virulence, detoxification, adaptation",NA,"catalytic activity, acting on RNA, hydrolase activity"
gene:Rv0625c,Rv0625c,brown,0.579004349,cell wall and cell processes,NA,NA
gene:Rv0626,vapB5,greenyellow,0.719028107,"virulence, detoxification, adaptation",NA,molecular sequestering activity
gene:Rv0627,vapC5,greenyellow,0.670623766,"virulence, detoxification, adaptation",NA,"catalytic activity, acting on RNA, hydrolase activity"
gene:Rv0628c,Rv0628c,red,0.680263411,conserved hypotheticals,NA,NA
gene:Rv0629c,recD,brown,0.41847904,information pathways,"DNA recombination, DNA repair","catalytic activity, acting on DNA, hydrolase activity, DNA binding"
gene:Rv0630c,recB,pink,0.800191736,information pathways,"DNA recombination, DNA repair","catalytic activity, acting on DNA, hydrolase activity, DNA binding"
gene:Rv0631c,recC,pink,0.697344193,information pathways,"DNA recombination, DNA repair","catalytic activity, acting on DNA, hydrolase activity, DNA binding"
gene:Rv0632c,echA3,lightyellow,0.825574212,lipid metabolism,NA,NA
gene:Rv0633c,Rv0633c,mediumpurple3,0.761088311,cell wall and cell processes,NA,NA
gene:Rv0634c,Rv0634c,black,0.790295211,"virulence, detoxification, adaptation",NA,hydrolase activity
gene:Rv0634A,Rv0634A,blue,0.807524518,conserved hypotheticals,NA,NA
gene:Rv0634B,rpmG2,magenta,0.498600893,information pathways,NA,"ribosome, structural molecule activity"
gene:Rv0635,hadA,blue,0.708630806,intermediary metabolism and respiration,NA,NA
gene:Rv0636,hadB,blue,0.784259741,intermediary metabolism and respiration,lipid metabolic process,NA
gene:Rv0637,hadC,blue,0.805953072,intermediary metabolism and respiration,NA,NA
gene:Rv0638,secE1,turquoise,0.145014143,cell wall and cell processes,NA,NA
gene:Rv0639,nusG,darkgrey,0.719741637,information pathways,"regulation of transcription, DNA-templated, transcription, DNA-templated",NA
gene:Rv0640,rplK,brown,0.739176567,information pathways,NA,"ribosome, structural molecule activity, RNA binding"
gene:Rv0641,rplA,brown,0.869120509,information pathways,ribosome biogenesis,"RNA binding, ribosome, structural molecule activity"
gene:Rv0642c,mmaA4,lightsteelblue1,0.785741177,lipid metabolism,"cell wall organization or biogenesis, lipid metabolic process",transferase activity
gene:Rv0643c,mmaA3,blue,0.540749665,lipid metabolism,"cell wall organization or biogenesis, lipid metabolic process",transferase activity
gene:Rv0644c,mmaA2,blue,0.271222033,lipid metabolism,"cell wall organization or biogenesis, lipid metabolic process",transferase activity
gene:Rv0645c,mmaA1,salmon4,0.62753416,lipid metabolism,"cell wall organization or biogenesis, lipid metabolic process","isomerase activity, transferase activity"
gene:Rv0646c,lipG,brown,0.924056502,intermediary metabolism and respiration,lipid metabolic process,hydrolase activity
gene:Rv0647c,Rv0647c,brown,0.901194658,conserved hypotheticals,protein modification process,"catalytic activity, acting on a protein, transferase activity"
gene:Rv0648,Rv0648,yellow,0.637116262,intermediary metabolism and respiration,"carbohydrate derivative metabolic process, lipid metabolic process, carbohydrate metabolic process",hydrolase activity
gene:Rv0649,fabD2,yellow,0.380507097,lipid metabolism,lipid metabolic process,transferase activity
gene:Rv0650,Rv0650,yellow,0.279493329,intermediary metabolism and respiration,NA,transferase activity
gene:Rv0651,rplJ,brown,0.630289816,information pathways,NA,"ribosome, structural molecule activity, RNA binding"
gene:Rv0652,rplL,lightyellow,0.857850995,information pathways,NA,"ribosome, structural molecule activity"
gene:Rv0653c,Rv0653c,royalblue,0.879239043,regulatory proteins,"regulation of transcription, DNA-templated","regulation of transcription, DNA-templated, DNA binding"
gene:Rv0654,Rv0654,royalblue,0.839907044,intermediary metabolism and respiration,lipid metabolic process,oxidoreductase activity
gene:Rv0655,mkl,darkgreen,0.659407636,cell wall and cell processes,NA,NA
gene:Rv0656c,vapC6,red,0.592885951,"virulence, detoxification, adaptation",NA,"catalytic activity, acting on RNA, hydrolase activity"
gene:Rv0657c,vapB6,turquoise,0.144580334,"virulence, detoxification, adaptation",NA,NA
gene:Rv0658c,Rv0658c,darkorange,0.79418222,cell wall and cell processes,protein maturation,"catalytic activity, acting on a protein, hydrolase activity"
gene:Rv0659c,mazF2,darkred,0.840680746,"virulence, detoxification, adaptation",mRNA metabolic process,"catalytic activity, acting on RNA, hydrolase activity, DNA binding"
gene:Rv0660c,mazE2,brown,0.588156529,"virulence, detoxification, adaptation","regulation of transcription, DNA-templated",NA
gene:Rv0661c,vapC7,magenta,0.516198012,"virulence, detoxification, adaptation",NA,"catalytic activity, acting on RNA, hydrolase activity"
gene:Rv0662c,vapB7,turquoise,0.049833051,"virulence, detoxification, adaptation",NA,NA
gene:Rv0663,atsD,tan,0.557407309,intermediary metabolism and respiration,NA,hydrolase activity
gene:Rv0664,vapB8,blue,0.493428098,"virulence, detoxification, adaptation",NA,NA
gene:Rv0665,vapC8,skyblue,0.807218476,"virulence, detoxification, adaptation",NA,hydrolase activity
gene:Rv0666,Rv0666,skyblue,0.788673697,cell wall and cell processes,NA,NA
gene:Rv0667,rpoB,turquoise,0.15886485,information pathways,"transcription, DNA-templated","DNA binding, catalytic activity, acting on RNA, transferase activity"
gene:Rv0668,rpoC,brown,0.705714686,information pathways,"transcription, DNA-templated","catalytic activity, acting on RNA, transferase activity, DNA binding"
gene:Rv0669c,Rv0669c,sienna3,0.947831164,intermediary metabolism and respiration,lipid metabolic process,hydrolase activity
gene:Rv0670,end,green,0.826558977,information pathways,DNA repair,"catalytic activity, acting on DNA, hydrolase activity, DNA binding"
gene:Rv0671,lpqP,lightgreen,0.828457843,cell wall and cell processes,NA,hydrolase activity
gene:Rv0672,fadE8,green,0.470517222,lipid metabolism,NA,oxidoreductase activity
gene:Rv0673,echA4,red,0.524873917,lipid metabolism,lipid metabolic process,lyase activity
gene:Rv0674,Rv0674,red,0.517260493,conserved hypotheticals,"transcription, DNA-templated",NA
gene:Rv0675,echA5,green,0.451284174,lipid metabolism,NA,lyase activity
gene:Rv0676c,mmpL5,darkolivegreen,0.945483425,cell wall and cell processes,NA,NA
gene:Rv0677c,mmpS5,darkolivegreen,0.95554293,cell wall and cell processes,NA,NA
gene:Rv0678,Rv0678,darkolivegreen,0.984830519,conserved hypotheticals,NA,NA
gene:Rv0679c,Rv0679c,blue,-0.120480631,conserved hypotheticals,NA,NA
gene:Rv0680c,Rv0680c,thistle1,0.747902409,cell wall and cell processes,NA,NA
gene:Rv0681,Rv0681,steelblue,0.701633613,regulatory proteins,"regulation of transcription, DNA-templated",DNA binding
gene:Rv0682,rpsL,black,0.823834743,information pathways,NA,"ribosome, structural molecule activity, RNA binding"
gene:Rv0683,rpsG,black,0.869653331,information pathways,"protein-containing complex assembly, ribosome biogenesis","RNA binding, ribosome, structural molecule activity"
gene:Rv0684,fusA1,mediumpurple3,0.872776513,information pathways,NA,NA
gene:Rv0685,tuf,blue,0.771565636,information pathways,NA,"translation regulator activity, GTPase activity"
gene:Rv0686,Rv0686,black,0.590312283,cell wall and cell processes,NA,NA
gene:Rv0687,Rv0687,red,0.852723008,intermediary metabolism and respiration,NA,oxidoreductase activity
gene:Rv0688,Rv0688,red,0.62747187,intermediary metabolism and respiration,generation of precursor metabolites and energy,"oxidoreductase activity, generation of precursor metabolites and energy"
gene:Rv0689c,Rv0689c,yellow,0.616400914,conserved hypotheticals,NA,NA
gene:Rv0690c,Rv0690c,brown,0.65786238,conserved hypotheticals,NA,NA
gene:Rv0691c,Rv0691c,turquoise,-0.362612825,regulatory proteins,NA,NA
gene:Rv0691A,Rv0691A,lightyellow,0.431241643,intermediary metabolism and respiration,NA,NA
gene:Rv0692,Rv0692,turquoise,-0.011324287,conserved hypotheticals,NA,NA
gene:Rv0693,Rv0693,brown,0.405980041,NULL,NA,NA
gene:Rv0694,Rv0694,brown,0.673366176,NULL,NA,NA
gene:Rv0695,Rv0695,plum1,0.905673163,conserved hypotheticals,NA,NA
gene:Rv0696,Rv0696,plum1,0.94476243,intermediary metabolism and respiration,NA,NA
gene:Rv0697,Rv0697,plum1,0.90411901,intermediary metabolism and respiration,NA,oxidoreductase activity
gene:Rv0698,Rv0698,pink,0.747387028,conserved hypotheticals,NA,NA
gene:Rv0699,Rv0699,sienna3,0.77100645,conserved hypotheticals,NA,NA
gene:Rv0700,rpsJ,pink,0.656987816,information pathways,NA,"ribosome, structural molecule activity, RNA binding"
gene:Rv0701,rplC,pink,0.788400405,information pathways,NA,"ribosome, structural molecule activity, RNA binding"
gene:Rv0702,rplD,magenta,0.827673295,information pathways,NA,"ribosome, structural molecule activity, RNA binding"
gene:Rv0703,rplW,pink,0.877022541,information pathways,"protein-containing complex assembly, ribosome biogenesis","ribosome, structural molecule activity, RNA binding"
gene:Rv0704,rplB,pink,0.940705874,information pathways,cytoplasmic translation,"RNA binding, ribosome, structural molecule activity, transferase activity"
gene:Rv0705,rpsS,pink,0.91572824,information pathways,"protein-containing complex assembly, ribosome biogenesis","ribosome, structural molecule activity, RNA binding"
gene:Rv0706,rplV,pink,0.946269202,information pathways,ribosome biogenesis,"ribosome, structural molecule activity, RNA binding"
gene:Rv0707,rpsC,pink,0.940762739,information pathways,NA,"ribosome, structural molecule activity, RNA binding"
gene:Rv0708,rplP,pink,0.867669946,information pathways,NA,"ribosome, structural molecule activity, RNA binding"
gene:Rv0709,rpmC,pink,0.818177765,information pathways,NA,"ribosome, structural molecule activity"
gene:Rv0710,rpsQ,magenta,0.845653669,information pathways,NA,"ribosome, structural molecule activity, RNA binding"
gene:Rv0711,atsA,turquoise,0.618827618,intermediary metabolism and respiration,NA,hydrolase activity
gene:Rv0712,Rv0712,turquoise,0.225823675,conserved hypotheticals,protein modification process,oxidoreductase activity
gene:Rv0713,Rv0713,blue,0.606145525,cell wall and cell processes,NA,NA
gene:Rv0714,rplN,magenta,0.594770369,information pathways,NA,"ribosome, structural molecule activity, RNA binding"
gene:Rv0715,rplX,tan,0.727639634,information pathways,NA,"RNA binding, ribosome, structural molecule activity"
gene:Rv0716,rplE,tan,0.716114179,information pathways,NA,"RNA binding, ribosome, structural molecule activity"
gene:Rv0717,rpsN1,tan,0.791834856,information pathways,NA,NA
gene:Rv0718,rpsH,pink,0.88971455,information pathways,NA,"ribosome, structural molecule activity, RNA binding"
gene:Rv0719,rplF,tan,0.77968827,information pathways,cytoplasmic translation,"ribosome, structural molecule activity, RNA binding"
gene:Rv0720,rplR,pink,0.922331463,information pathways,NA,"RNA binding, ribosome, structural molecule activity"
gene:Rv0721,rpsE,pink,0.94035544,information pathways,NA,"ribosome, structural molecule activity, RNA binding"
gene:Rv0722,rpmD,magenta,0.910300714,information pathways,NA,"ribosome, structural molecule activity"
gene:Rv0723,rplO,magenta,0.859126403,information pathways,NA,"ribosome, structural molecule activity, RNA binding"
gene:Rv0724,sppA,turquoise,0.3920499,cell wall and cell processes,protein maturation,"catalytic activity, acting on a protein, hydrolase activity"
gene:Rv0724A,Rv0724A,green,0.568731234,conserved hypotheticals,NA,NA
gene:Rv0725c,Rv0725c,green,0.497228033,conserved hypotheticals,NA,transferase activity
gene:Rv0726c,Rv0726c,royalblue,0.228956499,lipid metabolism,NA,transferase activity
gene:Rv0727c,fucA,green,0.464831956,intermediary metabolism and respiration,carbohydrate metabolic process,lyase activity
gene:Rv0728c,serA2,turquoise,0.517810557,intermediary metabolism and respiration,cellular amino acid metabolic process,oxidoreductase activity
gene:Rv0729,xylB,turquoise,0.214179297,intermediary metabolism and respiration,carbohydrate metabolic process,transferase activity
gene:Rv0730,Rv0730,blue,0.002425522,intermediary metabolism and respiration,NA,"DNA binding, transferase activity, catalytic activity, acting on DNA, isomerase activity"
gene:Rv0731c,Rv0731c,turquoise,0.005357919,lipid metabolism,NA,transferase activity
gene:Rv0732,secY,tan,0.906758549,cell wall and cell processes,"transmembrane transport, intracellular protein transport","transmembrane transport, transporter activity"
gene:Rv0733,adk,tan,0.874414126,intermediary metabolism and respiration,"carbohydrate derivative metabolic process, nucleobase-containing small molecule metabolic process","transferase activity, nucleobase-containing small molecule metabolic process"
gene:Rv0734,mapA,pink,0.887320793,intermediary metabolism and respiration,NA,NA
gene:Rv0735,sigL,grey,0.213623799,information pathways,"regulation of transcription, DNA-templated, transcription, DNA-templated","regulation of transcription, DNA-templated, DNA binding"
gene:Rv0736,rslA,grey60,0.547133655,information pathways,"regulation of transcription, DNA-templated","regulation of transcription, DNA-templated"
gene:Rv0737,Rv0737,turquoise,0.664578873,regulatory proteins,"regulation of transcription, DNA-templated","regulation of transcription, DNA-templated"
gene:Rv0738,Rv0738,cyan,0.824300048,conserved hypotheticals,NA,NA
gene:Rv0739,Rv0739,green,0.669864904,conserved hypotheticals,NA,NA
gene:Rv0740,Rv0740,darkmagenta,0.660760012,conserved hypotheticals,NA,NA
gene:Rv0741,Rv0741,lightsteelblue1,0.881964788,insertion seqs and phages,NA,NA
gene:Rv0742,Rv0742,brown,0.783696419,NULL,NA,NA
gene:Rv0743c,Rv0743c,black,0.472213077,conserved hypotheticals,NA,NA
gene:Rv0744c,Rv0744c,black,0.580293262,regulatory proteins,NA,DNA binding
gene:Rv0745,Rv0745,yellow,0.523539675,conserved hypotheticals,NA,NA
gene:Rv0746,PE_PGRS9,brown,0.666453486,PE/PPE,NA,NA
gene:Rv0747,PE_PGRS10,turquoise,0.745548173,PE/PPE,NA,NA
gene:Rv0748,vapB31,green,0.50227878,"virulence, detoxification, adaptation","regulation of transcription, DNA-templated",NA
gene:Rv0749,vapC31,black,0.866684039,"virulence, detoxification, adaptation",NA,"catalytic activity, acting on RNA, hydrolase activity"
gene:Rv0749A,Rv0749A,turquoise,0.780472189,conserved hypotheticals,NA,NA
gene:Rv0750,Rv0750,red,0.876404693,conserved hypotheticals,NA,NA
gene:Rv0751c,mmsB,white,0.903136255,intermediary metabolism and respiration,cellular amino acid metabolic process,oxidoreductase activity
gene:Rv0752c,fadE9,white,0.906456772,lipid metabolism,NA,oxidoreductase activity
gene:Rv0753c,mmsA,white,0.953226347,intermediary metabolism and respiration,"nucleobase-containing small molecule metabolic process, cellular amino acid metabolic process",oxidoreductase activity
gene:Rv0754,PE_PGRS11,green,0.901511169,PE/PPE,"carbohydrate derivative metabolic process, nucleobase-containing small molecule metabolic process, generation of precursor metabolites and energy, carbohydrate metabolic process",isomerase activity
gene:Rv0755c,PPE12,skyblue3,0.698391373,PE/PPE,NA,NA
gene:Rv0755A,Rv0755A,cyan,0.763455276,insertion seqs and phages,NA,DNA binding
gene:Rv0756c,Rv0756c,darkturquoise,0.79173551,conserved hypotheticals,NA,NA
gene:Rv0757,phoP,black,0.273090404,regulatory proteins,"regulation of transcription, DNA-templated, transmembrane transport, carbohydrate derivative metabolic process, lipid metabolic process, signaling, intracellular","signaling, molecular transducer activity, DNA binding, regulation of transcription, DNA-templated"
gene:Rv0758,phoR,lightgreen,0.852250535,regulatory proteins,"signaling, intracellular, protein modification process","transferase activity, protein modification process, signaling, small molecule sensor activity, catalytic activity, acting on a protein"
gene:Rv0759c,Rv0759c,black,0.57808693,conserved hypotheticals,NA,hydrolase activity
gene:Rv0760c,Rv0760c,salmon,0.541297971,conserved hypotheticals,NA,NA
gene:Rv0761c,adhB,black,0.640839409,intermediary metabolism and respiration,detoxification,oxidoreductase activity
gene:Rv0762c,Rv0762c,purple,0.893159725,conserved hypotheticals,NA,NA
gene:Rv0763c,Rv0763c,green,0.848931939,intermediary metabolism and respiration,NA,NA
gene:Rv0764c,cyp51,purple,0.934721704,intermediary metabolism and respiration,lipid metabolic process,oxidoreductase activity
gene:Rv0765c,Rv0765c,purple,0.891485478,intermediary metabolism and respiration,NA,oxidoreductase activity
gene:Rv0766c,cyp123,purple,0.961861469,intermediary metabolism and respiration,lipid metabolic process,oxidoreductase activity
gene:Rv0767c,Rv0767c,purple,0.955492202,conserved hypotheticals,"regulation of transcription, DNA-templated","regulation of transcription, DNA-templated, DNA binding"
gene:Rv0768,aldA,purple,0.880996117,intermediary metabolism and respiration,NA,oxidoreductase activity
gene:Rv0769,Rv0769,purple,0.928706791,intermediary metabolism and respiration,lipid metabolic process,oxidoreductase activity
gene:Rv0770,Rv0770,purple,0.844972132,intermediary metabolism and respiration,NA,oxidoreductase activity
gene:Rv0771,Rv0771,ivory,0.802793507,intermediary metabolism and respiration,detoxification,"oxidoreductase activity, antioxidant activity"
gene:Rv0772,purD,black,0.426538838,intermediary metabolism and respiration,"nucleobase-containing small molecule metabolic process, carbohydrate derivative metabolic process",ligase activity
gene:Rv0773c,ggtA,tan,0.942597512,intermediary metabolism and respiration,"sulfur compound metabolic process, cellular modified amino acid metabolic process","catalytic activity, acting on a protein, hydrolase activity, transferase activity"
gene:Rv0774c,Rv0774c,pink,0.760946813,cell wall and cell processes,NA,transferase activity
gene:Rv0775,Rv0775,darkturquoise,0.889506781,conserved hypotheticals,NA,DNA binding
gene:Rv0776c,Rv0776c,turquoise,0.575760711,conserved hypotheticals,NA,NA
gene:Rv0777,purB,mediumpurple3,0.633921911,intermediary metabolism and respiration,"carbohydrate derivative metabolic process, nucleobase-containing small molecule metabolic process",lyase activity
gene:Rv0778,cyp126,tan,0.884811337,intermediary metabolism and respiration,lipid metabolic process,oxidoreductase activity
gene:Rv0779c,Rv0779c,greenyellow,0.557096704,cell wall and cell processes,NA,NA
gene:Rv0780,purC,sienna3,0.790593568,intermediary metabolism and respiration,"nucleobase-containing small molecule metabolic process, carbohydrate derivative metabolic process",ligase activity
gene:Rv0781,ptrBa,yellowgreen,0.808608294,intermediary metabolism and respiration,NA,"catalytic activity, acting on a protein, hydrolase activity"
gene:Rv0782,ptrBb,yellowgreen,0.731397641,intermediary metabolism and respiration,NA,"catalytic activity, acting on a protein, hydrolase activity"
gene:Rv0783c,emrB,blue,0.577965289,cell wall and cell processes,transmembrane transport,"transmembrane transport, transporter activity"
gene:Rv0784,Rv0784,red,0.376158924,conserved hypotheticals,carbohydrate metabolic process,NA
gene:Rv0785,Rv0785,blue,0.769669107,conserved hypotheticals,lipid metabolic process,oxidoreductase activity
gene:Rv0786c,Rv0786c,blue,0.54178467,conserved hypotheticals,NA,NA
gene:Rv0787,Rv0787,brown,0.734255609,conserved hypotheticals,NA,NA
gene:Rv0787A,Rv0787A,brown,0.373304058,conserved hypotheticals,NA,NA
gene:Rv0788,purQ,tan,0.336874733,intermediary metabolism and respiration,"carbohydrate derivative metabolic process, nucleobase-containing small molecule metabolic process, cellular amino acid metabolic process","ligase activity, hydrolase activity"
gene:Rv0789c,Rv0789c,royalblue,0.894195558,conserved hypotheticals,NA,NA
gene:Rv0790c,Rv0790c,royalblue,0.855771902,conserved hypotheticals,NA,NA
gene:Rv0791c,Rv0791c,royalblue,0.849829767,conserved hypotheticals,NA,oxidoreductase activity
gene:Rv0792c,Rv0792c,royalblue,0.831652598,regulatory proteins,"regulation of transcription, DNA-templated","DNA binding, regulation of transcription, DNA-templated"
gene:Rv0793,Rv0793,royalblue,0.805380564,intermediary metabolism and respiration,NA,oxidoreductase activity
gene:Rv0794c,Rv0794c,white,0.551481477,intermediary metabolism and respiration,NA,oxidoreductase activity
gene:Rv0795,Rv0795,greenyellow,0.792551395,insertion seqs and phages,DNA recombination,"catalytic activity, acting on DNA, DNA binding"
gene:Rv0796,Rv0796,greenyellow,0.78095481,insertion seqs and phages,DNA recombination,DNA binding
gene:Rv0797,Rv0797,floralwhite,0.596726827,insertion seqs and phages,DNA recombination,"catalytic activity, acting on DNA, DNA binding"
gene:Rv0798c,cfp29,tan,0.935444583,"virulence, detoxification, adaptation",NA,NA
gene:Rv0799c,Rv0799c,tan,0.897802957,conserved hypotheticals,detoxification,"oxidoreductase activity, antioxidant activity"
gene:Rv0800,pepC,magenta,0.845269468,intermediary metabolism and respiration,NA,NA
gene:Rv0801,Rv0801,midnightblue,0.726266956,conserved hypotheticals,NA,NA
gene:Rv0802c,Rv0802c,green,0.827138686,intermediary metabolism and respiration,"carbohydrate derivative metabolic process, nucleobase-containing small molecule metabolic process, sulfur compound metabolic process, protein maturation, protein modification process",transferase activity
gene:Rv0803,purL,magenta,0.973875393,intermediary metabolism and respiration,"nucleobase-containing small molecule metabolic process, carbohydrate derivative metabolic process",ligase activity
gene:Rv0804,Rv0804,pink,0.82854254,conserved hypotheticals,protein maturation,"catalytic activity, acting on a protein, hydrolase activity"
gene:Rv0805,Rv0805,grey60,0.439109789,intermediary metabolism and respiration,cell wall organization or biogenesis,hydrolase activity
gene:Rv0806c,cpsY,ivory,0.801658781,cell wall and cell processes,carbohydrate metabolic process,transferase activity
gene:Rv0807,Rv0807,brown4,0.804132589,conserved hypotheticals,NA,NA
gene:Rv0808,purF,cyan,0.73667718,intermediary metabolism and respiration,"nucleobase-containing small molecule metabolic process, cellular amino acid metabolic process, carbohydrate derivative metabolic process",transferase activity
gene:Rv0809,purM,blue,0.076910827,intermediary metabolism and respiration,"nucleobase-containing small molecule metabolic process, carbohydrate derivative metabolic process",ligase activity
gene:Rv0810c,Rv0810c,brown4,0.744462141,conserved hypotheticals,NA,NA
gene:Rv0811c,Rv0811c,turquoise,0.598497629,conserved hypotheticals,sulfur compound metabolic process,NA
gene:Rv0812,Rv0812,brown,0.586300433,intermediary metabolism and respiration,"vitamin metabolic process, cellular modified amino acid metabolic process","lyase activity, transferase activity"
gene:Rv0813c,Rv0813c,darkgrey,0.67849332,conserved hypotheticals,NA,isomerase activity
gene:Rv0814c,Rv0814c,steelblue,0.780244567,NULL,NA,NA
gene:Rv0815c,cysA2,steelblue,0.859973478,intermediary metabolism and respiration,NA,NA
gene:Rv0816c,thiX,paleturquoise,0.633803041,intermediary metabolism and respiration,NA,NA
gene:Rv0817c,Rv0817c,greenyellow,0.264287156,cell wall and cell processes,NA,NA
gene:Rv0818,Rv0818,turquoise,0.451278391,regulatory proteins,"nitrogen cycle metabolic process, regulation of transcription, DNA-templated, signaling, intracellular","signaling, molecular transducer activity, DNA binding, regulation of transcription, DNA-templated"
gene:Rv0819,mshD,darkgrey,0.82486779,intermediary metabolism and respiration,"carbohydrate derivative metabolic process, sulfur compound metabolic process, protein maturation, protein modification process",transferase activity
gene:Rv0820,phoT,mediumpurple3,0.767631262,cell wall and cell processes,NA,NA
gene:Rv0821c,phoY2,cyan,0.416440252,cell wall and cell processes,NA,NA
gene:Rv0822c,Rv0822c,saddlebrown,0.956529555,conserved hypotheticals,NA,NA
gene:Rv0823c,Rv0823c,saddlebrown,0.965167409,regulatory proteins,NA,NA
gene:Rv0824c,desA1,saddlebrown,0.828402341,lipid metabolism,lipid metabolic process,oxidoreductase activity
gene:Rv0825c,Rv0825c,royalblue,0.778476279,conserved hypotheticals,NA,DNA binding
gene:Rv0826,Rv0826,green,0.861048904,conserved hypotheticals,NA,oxidoreductase activity
gene:Rv0827c,kmtR,salmon,0.499370722,regulatory proteins,"regulation of transcription, DNA-templated","DNA binding, regulation of transcription, DNA-templated"
gene:Rv0828c,Rv0828c,yellow,0.552414417,intermediary metabolism and respiration,tRNA metabolic process,hydrolase activity
gene:Rv0829,Rv0829,turquoise,0.161076706,insertion seqs and phages,DNA recombination,DNA binding
gene:Rv0830,Rv0830,green,0.451044677,lipid metabolism,NA,transferase activity
gene:Rv0831c,Rv0831c,sienna3,0.874508243,conserved hypotheticals,NA,NA
gene:Rv0832,PE_PGRS12,magenta,0.835619772,PE/PPE,NA,NA
gene:Rv0833,PE_PGRS13,darkred,0.8423351,PE/PPE,NA,NA
gene:Rv0834c,PE_PGRS14,darkturquoise,0.788629597,PE/PPE,NA,NA
gene:Rv0835,lpqQ,lightgreen,0.665068325,cell wall and cell processes,NA,NA
gene:Rv0836c,Rv0836c,purple,0.878721264,conserved hypotheticals,NA,NA
gene:Rv0837c,Rv0837c,purple,0.947677896,conserved hypotheticals,NA,NA
gene:Rv0838,lpqR,darkorange,0.611467439,cell wall and cell processes,cell wall organization or biogenesis,"catalytic activity, acting on a protein, hydrolase activity"
gene:Rv0839,Rv0839,darkgrey,0.496001242,conserved hypotheticals,NA,transferase activity
gene:Rv0840c,pip,yellow,0.777132857,intermediary metabolism and respiration,NA,"hydrolase activity, catalytic activity, acting on a protein"
gene:Rv0841,Rv0841,yellow,0.746959111,cell wall and cell processes,NA,NA
